id,province,adl_katz_score,net_family_income_cad,has_dtc,is_veteran,sensitivity_case,private_pay_annual_cad,out_of_pocket_before_credits_annual_cad,metc_qualifying_amount_cad,metc_federal_value_cad,metc_provincial_value_cad,metc_credit_value_cad,dtc_credit_value_cad,ccc_credit_value_cad,vac_vip_credit_value_cad,total_credits_value_cad,out_of_pocket_after_credits_annual_cad,effective_credit_fraction_of_oop
69,AB,4,75000,False,False,baseline,48998.57,26004.82,23754.82,3563.22,2375.48,5938.71,0.0,0.0,0.0,5938.71,20066.11,0.2284
70,AB,4,75000,False,True,vip_only,48998.57,26004.82,23754.82,3563.22,2375.48,5938.71,0.0,0.0,12396.0,18334.71,7670.11,0.7051
71,AB,4,75000,True,False,dtc_only,48998.57,26004.82,23754.82,3563.22,2375.48,5938.71,3087.4,0.0,0.0,9026.11,16978.71,0.3471
72,AB,4,75000,True,True,dtc_and_vip,48998.57,26004.82,23754.82,3563.22,2375.48,5938.71,3087.4,0.0,12396.0,21422.11,4582.71,0.8238
73,AB,4,100000,False,False,baseline,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,0.0,0.0,0.0,5804.96,20199.86,0.2232
74,AB,4,100000,False,True,vip_only,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,0.0,0.0,12396.0,18200.96,7803.86,0.6999
75,AB,4,100000,True,False,dtc_only,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,3087.4,0.0,0.0,8892.36,17112.46,0.342
76,AB,4,100000,True,True,dtc_and_vip,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,3087.4,0.0,12396.0,21288.36,4716.46,0.8186
77,AB,4,150000,False,False,baseline,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,0.0,0.0,0.0,5804.96,20199.86,0.2232
78,AB,4,150000,False,True,vip_only,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,0.0,0.0,12396.0,18200.96,7803.86,0.6999
79,AB,4,150000,True,False,dtc_only,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,3087.4,0.0,0.0,8892.36,17112.46,0.342
80,AB,4,150000,True,True,dtc_and_vip,48998.57,26004.82,23245.82,3486.87,2318.08,5804.96,3087.4,0.0,12396.0,21288.36,4716.46,0.8186
81,AB,5,25000,False,False,baseline,32410.22,32410.22,31660.22,4749.03,3166.02,7915.06,0.0,0.0,0.0,7915.06,24495.16,0.2442
82,AB,5,25000,False,True,vip_only,32410.22,32410.22,31660.22,4749.03,3166.02,7915.06,0.0,0.0,12396.0,20311.06,12099.16,0.6267
83,AB,5,25000,True,False,dtc_only,32410.22,32410.22,31660.22,4749.03,3166.02,7915.06,3087.4,0.0,0.0,11002.46,21407.76,0.3395
84,AB,5,25000,True,True,dtc_and_vip,32410.22,32410.22,31660.22,4749.03,3166.02,7915.06,3087.4,0.0,12396.0,23398.46,9011.76,0.7219
85,AB,5,50000,False,False,baseline,32410.22,32410.22,30910.22,4636.53,3091.02,7727.56,0.0,0.0,0.0,7727.56,24682.66,0.2384
86,AB,5,50000,False,True,vip_only,32410.22,32410.22,30910.22,4636.53,3091.02,7727.56,0.0,0.0,12396.0,20123.56,12286.66,0.6209
87,AB,5,50000,True,False,dtc_only,32410.22,32410.22,30910.22,4636.53,3091.02,7727.56,3087.4,0.0,0.0,10814.96,21595.26,0.3337
88,AB,5,50000,True,True,dtc_and_vip,32410.22,32410.22,30910.22,4636.53,3091.02,7727.56,3087.4,0.0,12396.0,23210.96,9199.26,0.7162
89,AB,5,75000,False,False,baseline,32410.22,32410.22,30160.22,4524.03,3016.02,7540.06,0.0,0.0,0.0,7540.06,24870.16,0.2326
90,AB,5,75000,False,True,vip_only,32410.22,32410.22,30160.22,4524.03,3016.02,7540.06,0.0,0.0,12396.0,19936.06,12474.16,0.6151
91,AB,5,75000,True,False,dtc_only,32410.22,32410.22,30160.22,4524.03,3016.02,7540.06,3087.4,0.0,0.0,10627.46,21782.76,0.3279
92,AB,5,75000,True,True,dtc_and_vip,32410.22,32410.22,30160.22,4524.03,3016.02,7540.06,3087.4,0.0,12396.0,23023.46,9386.76,0.7104
93,AB,5,100000,False,False,baseline,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,0.0,0.0,0.0,7406.31,25003.91,0.2285
94,AB,5,100000,False,True,vip_only,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,0.0,0.0,12396.0,19802.31,12607.91,0.611
95,AB,5,100000,True,False,dtc_only,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,3087.4,0.0,0.0,10493.71,21916.51,0.3238
96,AB,5,100000,True,True,dtc_and_vip,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,3087.4,0.0,12396.0,22889.71,9520.51,0.7062
97,AB,5,150000,False,False,baseline,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,0.0,0.0,0.0,7406.31,25003.91,0.2285
98,AB,5,150000,False,True,vip_only,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,0.0,0.0,12396.0,19802.31,12607.91,0.611
99,AB,5,150000,True,False,dtc_only,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,3087.4,0.0,0.0,10493.71,21916.51,0.3238
100,AB,5,150000,True,True,dtc_and_vip,32410.22,32410.22,29651.22,4447.68,2958.62,7406.31,3087.4,0.0,12396.0,22889.71,9520.51,0.7062
101,BC,1,25000,False,False,baseline,101585.4,42458.64,41708.64,6256.3,2110.46,8366.75,0.0,548.27,0.0,8915.03,33543.61,0.21
102,BC,1,25000,False,True,vip_only,101585.4,42458.64,41708.64,6256.3,2110.46,8366.75,0.0,548.27,12396.0,21311.03,21147.61,0.5019
103,BC,1,25000,True,False,dtc_only,101585.4,42458.64,41708.64,6256.3,2110.46,8366.75,1957.86,548.27,0.0,10872.88,31585.76,0.2561
104,BC,1,25000,True,True,dtc_and_vip,101585.4,42458.64,41708.64,6256.3,2110.46,8366.75,1957.86,548.27,12396.0,23268.88,19189.76,0.548
105,BC,1,50000,False,False,baseline,101585.4,42458.64,40958.64,6143.8,2072.51,8216.3,0.0,0.0,0.0,8216.3,34242.34,0.1935
106,BC,1,50000,False,True,vip_only,101585.4,42458.64,40958.64,6143.8,2072.51,8216.3,0.0,0.0,12396.0,20612.3,21846.34,0.4855
107,BC,1,50000,True,False,dtc_only,101585.4,42458.64,40958.64,6143.8,2072.51,8216.3,1957.86,0.0,0.0,10174.16,32284.48,0.2396
108,BC,1,50000,True,True,dtc_and_vip,101585.4,42458.64,40958.64,6143.8,2072.51,8216.3,1957.86,0.0,12396.0,22570.16,19888.48,0.5316
109,BC,1,75000,False,False,baseline,101585.4,42458.64,40208.64,6031.3,2034.56,8065.85,0.0,0.0,0.0,8065.85,34392.79,0.19
110,BC,1,75000,False,True,vip_only,101585.4,42458.64,40208.64,6031.3,2034.56,8065.85,0.0,0.0,12396.0,20461.85,21996.79,0.4819
111,BC,1,75000,True,False,dtc_only,101585.4,42458.64,40208.64,6031.3,2034.56,8065.85,1957.86,0.0,0.0,10023.71,32434.93,0.2361
112,BC,1,75000,True,True,dtc_and_vip,101585.4,42458.64,40208.64,6031.3,2034.56,8065.85,1957.86,0.0,12396.0,22419.71,20038.93,0.528
113,BC,1,100000,False,False,baseline,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,0.0,0.0,0.0,7971.54,34487.1,0.1877
114,BC,1,100000,False,True,vip_only,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,0.0,0.0,12396.0,20367.54,22091.1,0.4797
115,BC,1,100000,True,False,dtc_only,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,1957.86,0.0,0.0,9929.4,32529.24,0.2339
116,BC,1,100000,True,True,dtc_and_vip,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,1957.86,0.0,12396.0,22325.4,20133.24,0.5258
117,BC,1,150000,False,False,baseline,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,0.0,0.0,0.0,7971.54,34487.1,0.1877
118,BC,1,150000,False,True,vip_only,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,0.0,0.0,12396.0,20367.54,22091.1,0.4797
119,BC,1,150000,True,False,dtc_only,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,1957.86,0.0,0.0,9929.4,32529.24,0.2339
120,BC,1,150000,True,True,dtc_and_vip,101585.4,42458.64,39699.64,5954.95,2016.59,7971.54,1957.86,0.0,12396.0,22325.4,20133.24,0.5258
121,BC,2,25000,False,False,baseline,84523.11,34659.54,33909.54,5086.43,1715.82,6802.25,0.0,548.27,0.0,7350.53,27309.01,0.2121
122,BC,2,25000,False,True,vip_only,84523.11,34659.54,33909.54,5086.43,1715.82,6802.25,0.0,548.27,12396.0,19746.53,14913.01,0.5697
123,BC,2,25000,True,False,dtc_only,84523.11,34659.54,33909.54,5086.43,1715.82,6802.25,1957.86,548.27,0.0,9308.38,25351.16,0.2686
124,BC,2,25000,True,True,dtc_and_vip,84523.11,34659.54,33909.54,5086.43,1715.82,6802.25,1957.86,548.27,12396.0,21704.38,12955.16,0.6262
125,BC,2,50000,False,False,baseline,84523.11,34659.54,33159.54,4973.93,1677.87,6651.8,0.0,0.0,0.0,6651.8,28007.74,0.1919
126,BC,2,50000,False,True,vip_only,84523.11,34659.54,33159.54,4973.93,1677.87,6651.8,0.0,0.0,12396.0,19047.8,15611.74,0.5496
127,BC,2,50000,True,False,dtc_only,84523.11,34659.54,33159.54,4973.93,1677.87,6651.8,1957.86,0.0,0.0,8609.66,26049.88,0.2484
128,BC,2,50000,True,True,dtc_and_vip,84523.11,34659.54,33159.54,4973.93,1677.87,6651.8,1957.86,0.0,12396.0,21005.66,13653.88,0.6061
129,BC,2,75000,False,False,baseline,84523.11,34659.54,32409.54,4861.43,1639.92,6501.35,0.0,0.0,0.0,6501.35,28158.19,0.1876
130,BC,2,75000,False,True,vip_only,84523.11,34659.54,32409.54,4861.43,1639.92,6501.35,0.0,0.0,12396.0,18897.35,15762.19,0.5452
131,BC,2,75000,True,False,dtc_only,84523.11,34659.54,32409.54,4861.43,1639.92,6501.35,1957.86,0.0,0.0,8459.21,26200.33,0.2441
132,BC,2,75000,True,True,dtc_and_vip,84523.11,34659.54,32409.54,4861.43,1639.92,6501.35,1957.86,0.0,12396.0,20855.21,13804.33,0.6017
133,BC,2,100000,False,False,baseline,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,0.0,0.0,0.0,6407.04,28252.5,0.1849
134,BC,2,100000,False,True,vip_only,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,0.0,0.0,12396.0,18803.04,15856.5,0.5425
135,BC,2,100000,True,False,dtc_only,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,1957.86,0.0,0.0,8364.9,26294.64,0.2413
136,BC,2,100000,True,True,dtc_and_vip,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,1957.86,0.0,12396.0,20760.9,13898.64,0.599
137,BC,2,150000,False,False,baseline,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,0.0,0.0,0.0,6407.04,28252.5,0.1849
138,BC,2,150000,False,True,vip_only,84523.11,34659.54,31900.54,4785.08,1621.96,6407.04,0.0,0.0,12396.0,18803.04,15856.5,0.5425
